Start (s),End (s),Scientific name,Common name,Confidence,ID,Year,Month,Day,Time,Latitude,Longitude,Elevation,Habitant
435,438,phylloscopus pulcher,buff-barred warbler,0.6556,psh10,2024,6,4,7,33.13514,76.463139,3664,1
438,441,phylloscopus nitidus,green warbler,0.79,psh10,2024,6,4,7,33.13514,76.463139,3664,0
444,447,phylloscopus nitidus,green warbler,0.8503,psh10,2024,6,4,7,33.13514,76.463139,3664,0
459,462,phylloscopus nitidus,green warbler,0.7301,psh10,2024,6,4,7,33.13514,76.463139,3664,0
462,465,phylloscopus nitidus,green warbler,0.9562,psh10,2024,6,4,7,33.13514,76.463139,3664,0
480,483,phylloscopus nitidus,green warbler,0.5558,psh10,2024,6,4,7,33.13514,76.463139,3664,0
486,489,phylloscopus nitidus,green warbler,0.6673,psh10,2024,6,4,7,33.13514,76.463139,3664,0
489,492,phylloscopus nitidus,green warbler,0.6234,psh10,2024,6,4,7,33.13514,76.463139,3664,0
492,495,phylloscopus nitidus,green warbler,0.7977,psh10,2024,6,4,7,33.13514,76.463139,3664,0
492,495,phylloscopus trochiloides,greenish warbler,0.7378,psh10,2024,6,4,7,33.13514,76.463139,3664,1
495,498,phylloscopus humei,hume's warbler,0.9627,psh10,2024,6,4,7,33.13514,76.463139,3664,1
510,513,phylloscopus nitidus,green warbler,0.5635,psh10,2024,6,4,7,33.13514,76.463139,3664,0
510,513,phylloscopus trochiloides,greenish warbler,0.5442,psh10,2024,6,4,7,33.13514,76.463139,3664,1
513,516,phylloscopus nitidus,green warbler,0.9242,psh10,2024,6,4,7,33.13514,76.463139,3664,0
537,540,phylloscopus nitidus,green warbler,0.9226,psh10,2024,6,4,7,33.13514,76.463139,3664,0
543,546,phylloscopus humei,hume's warbler,0.844,psh10,2024,6,4,7,33.13514,76.463139,3664,1
561,564,phylloscopus nitidus,green warbler,0.6913,psh10,2024,6,4,7,33.13514,76.463139,3664,0
564,567,phylloscopus nitidus,green warbler,0.6656,psh10,2024,6,4,7,33.13514,76.463139,3664,0
573,576,calliope pectoralis,himalayan rubythroat,0.5179,psh10,2024,6,4,7,33.13514,76.463139,3664,1
579,582,phylloscopus humei,hume's warbler,0.625,psh10,2024,6,4,7,33.13514,76.463139,3664,1
579,582,vireo gilvus,warbling vireo,0.5659,psh10,2024,6,4,7,33.13514,76.463139,3664,0
579,582,calliope pectoralis,himalayan rubythroat,0.519,psh10,2024,6,4,7,33.13514,76.463139,3664,1
594,597,phylloscopus nitidus,green warbler,0.7479,psh10,2024,6,4,7,33.13514,76.463139,3664,0
594,597,phylloscopus humei,hume's warbler,0.7362,psh10,2024,6,4,7,33.13514,76.463139,3664,1
606,609,phylloscopus nitidus,green warbler,0.8604,psh10,2024,6,4,7,33.13514,76.463139,3664,0
612,615,phylloscopus humei,hume's warbler,0.6515,psh10,2024,6,4,7,33.13514,76.463139,3664,1
624,627,phylloscopus humei,hume's warbler,0.965,psh10,2024,6,4,7,33.13514,76.463139,3664,1
630,633,phylloscopus nitidus,green warbler,0.8168,psh10,2024,6,4,7,33.13514,76.463139,3664,0
642,645,phylloscopus trochiloides,greenish warbler,0.9322,psh10,2024,6,4,7,33.13514,76.463139,3664,1
645,648,phylloscopus humei,hume's warbler,0.9049,psh10,2024,6,4,7,33.13514,76.463139,3664,1
651,654,phylloscopus humei,hume's warbler,0.5837,psh10,2024,6,4,7,33.13514,76.463139,3664,1
651,654,phylloscopus pulcher,buff-barred warbler,0.5096,psh10,2024,6,4,7,33.13514,76.463139,3664,1
657,660,phylloscopus humei,hume's warbler,0.7662,psh10,2024,6,4,7,33.13514,76.463139,3664,1
660,663,phylloscopus nitidus,green warbler,0.7381,psh10,2024,6,4,7,33.13514,76.463139,3664,0
663,666,phylloscopus humei,hume's warbler,0.8598,psh10,2024,6,4,7,33.13514,76.463139,3664,1
666,669,phylloscopus nitidus,green warbler,0.5375,psh10,2024,6,4,7,33.13514,76.463139,3664,0
675,678,phylloscopus humei,hume's warbler,0.9103,psh10,2024,6,4,7,33.13514,76.463139,3664,1
681,684,phylloscopus humei,hume's warbler,0.9192,psh10,2024,6,4,7,33.13514,76.463139,3664,1
696,699,phylloscopus humei,hume's warbler,0.985,psh10,2024,6,4,7,33.13514,76.463139,3664,1
696,699,phylloscopus trochiloides,greenish warbler,0.6374,psh10,2024,6,4,7,33.13514,76.463139,3664,1
705,708,phylloscopus humei,hume's warbler,0.6648,psh10,2024,6,4,7,33.13514,76.463139,3664,1
711,714,phylloscopus humei,hume's warbler,0.6826,psh10,2024,6,4,7,33.13514,76.463139,3664,1
711,714,calliope pectoralis,himalayan rubythroat,0.6074,psh10,2024,6,4,7,33.13514,76.463139,3664,1
720,723,phylloscopus humei,hume's warbler,0.9941,psh10,2024,6,4,7,33.13514,76.463139,3664,1
726,729,phylloscopus humei,hume's warbler,0.9609,psh10,2024,6,4,7,33.13514,76.463139,3664,1
738,741,phylloscopus humei,hume's warbler,0.9702,psh10,2024,6,4,7,33.13514,76.463139,3664,1
744,747,phylloscopus humei,hume's warbler,0.7246,psh10,2024,6,4,7,33.13514,76.463139,3664,1
747,750,turdus iliacus,redwing,0.534,psh10,2024,6,4,7,33.13514,76.463139,3664,0
753,756,phylloscopus humei,hume's warbler,0.9291,psh10,2024,6,4,7,33.13514,76.463139,3664,1
762,765,phylloscopus humei,hume's warbler,0.9135,psh10,2024,6,4,7,33.13514,76.463139,3664,1
768,771,phylloscopus humei,hume's warbler,0.9939,psh10,2024,6,4,7,33.13514,76.463139,3664,1
777,780,phylloscopus humei,hume's warbler,0.9521,psh10,2024,6,4,7,33.13514,76.463139,3664,1
783,786,phylloscopus humei,hume's warbler,0.946,psh10,2024,6,4,7,33.13514,76.463139,3664,1
789,792,phylloscopus humei,hume's warbler,0.9876,psh10,2024,6,4,7,33.13514,76.463139,3664,1
804,807,phylloscopus humei,hume's warbler,0.9927,psh10,2024,6,4,7,33.13514,76.463139,3664,1
813,816,phylloscopus humei,hume's warbler,0.8957,psh10,2024,6,4,7,33.13514,76.463139,3664,1
