Start (s),End (s),Common name,Confidence,ID,Month,Day,Time,Latitude,Longitude,Elevation,Habitant,Elevation_type
513.0,516.0,green warbler,0.9242,psh10,6,4,7,33.13514,76.463139,3664,0,high
537.0,540.0,green warbler,0.9226,psh10,6,4,7,33.13514,76.463139,3664,0,high
543.0,546.0,hume's warbler,0.844,psh10,6,4,7,33.13514,76.463139,3664,1,high
561.0,564.0,green warbler,0.6913,psh10,6,4,7,33.13514,76.463139,3664,0,high
564.0,567.0,green warbler,0.6656,psh10,6,4,7,33.13514,76.463139,3664,0,high
573.0,576.0,himalayan rubythroat,0.5179,psh10,6,4,7,33.13514,76.463139,3664,1,high
579.0,582.0,hume's warbler,0.625,psh10,6,4,7,33.13514,76.463139,3664,1,high
579.0,582.0,warbling vireo,0.5659,psh10,6,4,7,33.13514,76.463139,3664,0,high
579.0,582.0,himalayan rubythroat,0.519,psh10,6,4,7,33.13514,76.463139,3664,1,high
594.0,597.0,green warbler,0.7479,psh10,6,4,7,33.13514,76.463139,3664,0,high
594.0,597.0,hume's warbler,0.7362,psh10,6,4,7,33.13514,76.463139,3664,1,high
606.0,609.0,green warbler,0.8604,psh10,6,4,7,33.13514,76.463139,3664,0,high
612.0,615.0,hume's warbler,0.6515,psh10,6,4,7,33.13514,76.463139,3664,1,high
624.0,627.0,hume's warbler,0.965,psh10,6,4,7,33.13514,76.463139,3664,1,high
630.0,633.0,green warbler,0.8168,psh10,6,4,7,33.13514,76.463139,3664,0,high
642.0,645.0,greenish warbler,0.9322,psh10,6,4,7,33.13514,76.463139,3664,1,high
645.0,648.0,hume's warbler,0.9049,psh10,6,4,7,33.13514,76.463139,3664,1,high
651.0,654.0,hume's warbler,0.5837,psh10,6,4,7,33.13514,76.463139,3664,1,high
651.0,654.0,buff-barred warbler,0.5096,psh10,6,4,7,33.13514,76.463139,3664,1,high
657.0,660.0,hume's warbler,0.7662,psh10,6,4,7,33.13514,76.463139,3664,1,high
660.0,663.0,green warbler,0.7381,psh10,6,4,7,33.13514,76.463139,3664,0,high
663.0,666.0,hume's warbler,0.8598,psh10,6,4,7,33.13514,76.463139,3664,1,high
666.0,669.0,green warbler,0.5375,psh10,6,4,7,33.13514,76.463139,3664,0,high
675.0,678.0,hume's warbler,0.9103,psh10,6,4,7,33.13514,76.463139,3664,1,high
681.0,684.0,hume's warbler,0.9192,psh10,6,4,7,33.13514,76.463139,3664,1,high
696.0,699.0,hume's warbler,0.985,psh10,6,4,7,33.13514,76.463139,3664,1,high
696.0,699.0,greenish warbler,0.6374,psh10,6,4,7,33.13514,76.463139,3664,1,high
705.0,708.0,hume's warbler,0.6648,psh10,6,4,7,33.13514,76.463139,3664,1,high
711.0,714.0,hume's warbler,0.6826,psh10,6,4,7,33.13514,76.463139,3664,1,high
711.0,714.0,himalayan rubythroat,0.6074,psh10,6,4,7,33.13514,76.463139,3664,1,high
720.0,723.0,hume's warbler,0.9941,psh10,6,4,7,33.13514,76.463139,3664,1,high
726.0,729.0,hume's warbler,0.9609,psh10,6,4,7,33.13514,76.463139,3664,1,high
738.0,741.0,hume's warbler,0.9702,psh10,6,4,7,33.13514,76.463139,3664,1,high
744.0,747.0,hume's warbler,0.7246,psh10,6,4,7,33.13514,76.463139,3664,1,high
747.0,750.0,redwing,0.534,psh10,6,4,7,33.13514,76.463139,3664,0,high
753.0,756.0,hume's warbler,0.9291,psh10,6,4,7,33.13514,76.463139,3664,1,high
762.0,765.0,hume's warbler,0.9135,psh10,6,4,7,33.13514,76.463139,3664,1,high
768.0,771.0,hume's warbler,0.9939,psh10,6,4,7,33.13514,76.463139,3664,1,high
777.0,780.0,hume's warbler,0.9521,psh10,6,4,7,33.13514,76.463139,3664,1,high
783.0,786.0,hume's warbler,0.946,psh10,6,4,7,33.13514,76.463139,3664,1,high
789.0,792.0,hume's warbler,0.9876,psh10,6,4,7,33.13514,76.463139,3664,1,high
